English,DetailEnglish,Chinese,DetailChinese,Japanese,DetailJapanese,Vietnamese,DetailVietnamese
apple,Of course - this isn’t the apple that fell on Isaac Newton’s head ^^,苹果,当然 - 这不是砸中牛顿脑袋的那个苹果 ^^,りんご,もちろん - これはアイザック・ニュートンの頭に落ちたリンゴじゃないよ ^^,Quả táo,Tất nhiên đây không phải là quả táo đã rơi trúng đầu Isaac Newton đâu nhé ^^
yellow pepper ,Trust me - this chili is very sweet.,黄辣椒,相信我 - 这个辣椒很甜。,黄ピーマン,信じて - この唐辛子はめっちゃ甘いんだから。,Ớt vàng,Tin tớ đi - quả ớt này rất ngọt.
lemon,A glass of cold lemonade in the summer is wonderful!,柠檬,夏天一杯冰凉的柠檬水 - 太棒了！,レモン,夏に冷たいレモネード一杯 - 最高だよね！,Quả chanh,Một cốc nước chanh mát lạnh vào mùa hè thì tuyệt vời phải không?
wheat,Have you seen a wheat field bathed in golden sunlight and swaying in the breeze?,小麦,你见过沐浴在金色阳光下随风摇曳的麦田吗？,小麦（こむぎ）,黄金の陽光に浴して風に揺れる小麦畑を見たことある？,Lúa mì,Cậu đã thấy cánh đồng lúa mì ngập trong ánh nắng vàng - uốn lượn theo làn gió chưa?
watermelon ,I absolutely love eating watermelon ^^,西瓜,我超爱吃西瓜 ^^,スイカ,スイカを食べるのが大好きなんだ ^^,Dưa hấu,Tớ cực kì thích ăn dưa hấu luôn ^^
drinking water,Water is life - but it’s not infinite.,饮用水,水是生命 - 但它不是无限的。,飲料水,水は命 - でも無限じゃないよ。,Nước uống,Nước là sự sống - nhưng chúng không vô hạn.
grape wine,The longer wine ages - the better it tastes.,葡萄酒,葡萄酒越陈越香。,ワイン,ワインは熟成すればするほど - 美味しくなる。,Rượu nho,Rượu nho càng để lâu càng ngon.
tomato,This tomato is red - round -and super juicy!,西红柿,这个西红柿又红又圆 - 汁水超多！,トマト,このトマトは赤くて丸くて - めっちゃジューシー！,Cà chua,Trái cà chua này đò - tròn - mọng nước lắm nha!
green tea,Tea - calmness for the mind!,绿茶,茶 - 让内心平静！,緑茶（りょくちゃ）,お茶 - 心の平穏だね！,Trà xanh,Trà - sự tĩnh lặng trong tâm trí!
sunflower seeds,Sunflower oil is great for your health.,葵花籽,葵花籽油对健康很好。,ひまわりの種,ひまわり油は健康にいいよ。,Hạt hướng dương,Dầu ăn hướng dương rất tốt cho sức khỏe.
strawberry,You’re a sweet strawberry ^^,草莓,你是一个甜甜的草莓 ^^,いちご,君は甘いイチゴだよ ^^,Dâu tây,Bạn chính là một trái dâu tây ngọt ngào ^^
